gene_id,highly_variable
DOCK7,False
ANGPTL3,False
AC103923.1,False
ATG4C,False
LINC01739,False
ALG6,False
ITGB3BP,True
EFCAB7,False
PGM1,False
ROR1,False
CACHD1,False
RAVER2,False
JAK1,True
AL357078.3,False
AL357078.1,False
AK4,False
DNAJC6,False
LEPROT,True
LEPR,True
AL513493.1,False
PDE4B,False
SGIP1,False
TCTEX1D1,False
WDR78,False
MIER1,False
SLC35D1,False
IL23R,False
IL12RB2,False
SERBP1,False
LINC01702,False
GADD45A,False
GNG12,False
GNG12-AS1,False
DIRAS3,False
WLS,False
DEPDC1,False
LRRC7,False
LRRC40,False
SRSF11,False
ANKRD13C,False
HHLA3,True
CTH,True
AL354872.2,False
ZRANB2,False
NEGR1,False
LRRIQ3,False
FPGT,False
FPGT-TNNI3K,False
TNNI3K,False
ERICH3,False
AC135803.1,False
CRYZ,True
TYW3,False
SLC44A5,False
ACADM,False
RABGGTB,False
ST6GALNAC3,False
AC104458.1,False
PIGK,True
AK5,False
AC118549.1,False
USP33,False
MIGA1,False
NEXN-AS1,False
NEXN,True
FUBP1,False
DNAJB4,False
GIPC2,True
AC103591.3,False
PTGFR,False
IFI44L,False
IFI44,False
ADGRL4,True
LINC01781,False
ADGRL2,False
LINC01361,False
LINC01725,False
AL035706.1,False
TTLL7,False
AC104454.2,False
AL359504.2,False
PRKACB,True
SAMD13,False
DNASE2B,False
RPF1,False
GNG5,False
SPATA1,False
CTBS,False
SSX2IP,False
LPAR3,False
MCOLN2,False
MCOLN3,False
SYDE2,False
C1orf52,False
BCL10,False
AL078459.1,False
DDAH1,True
AL360219.1,False
AC092807.3,False
CYR61,True
ZNHIT6,True
AL136382.1,False
ODF2L,False
AL356270.1,False
AL049597.2,False
SH3GLB1,False
SELENOF,True
HS2ST1,False
LINC01140,False
AC099062.1,False
LMO4,True
PKN2-AS1,False
PKN2,False
GTF2B,False
KYAT3,True
RBMXL1,False
GBP3,False
GBP1,True
GBP2,False
GBP7,True
GBP4,False
AC099063.4,False
GBP5,False
GBP6,False
LRRC8B,False
LRRC8C-DT,False
LRRC8C,False
AC099568.2,False
LRRC8D,False
AL391497.1,False
ZNF326,False
ZNF644,False
CDC7,False
TGFBR3,False
BTBD8,False
AC104836.1,False
GLMN,False
RPAP2,False
GFI1,False
EVI5,True
RPL5,False
FAM69A,False
MTF2,False
TMED5,False
CCDC18,False
DR1,False
FNBP1L,False
BCAR3,True
AL109613.1,False
DNTTIP2,False
GCLM,False
ABCA4,False
ARHGAP29,False
ABCD3,True
F3,False
SLC44A3,False
CNN3,False
AC105942.1,False
ALG14,True
AC095033.1,False
TMEM56,False
TMEM56-RWDD3,False
AC092802.1,False
RWDD3,False
PTBP2,True
DPYD,False
SNX7,False
PLPPR4,False
PALMD,False
FRRS1,False
AGL,True
AC118553.1,False
SLC35A3,False
AC118553.2,False
MFSD14A,False
SASS6,False
TRMT13,True
LRRC39,False
DBT,True
RTCA-AS1,False
RTCA,False
CDC14A,False
GPR88,False
VCAM1,False
EXTL2,False
AC104506.1,False
SLC30A7,False
DPH5,False
AC093157.2,False
AC093157.1,False
AL109741.1,False
S1PR1,False
COL11A1,False
RNPC3,False
AMY2B,False
PRMT6,False
VAV3,False
VAV3-AS1,False
AL390036.1,False
SLC25A24,False
AL359258.2,False
FAM102B,False
HENMT1,False
PRPF38B,True
STXBP3,False
AL449266.1,False
GPSM2,False
CLCC1,False
WDR47,False
TAF13,False
AL356488.3,False
TMEM167B,False
AL356488.2,False
KIAA1324,False
SARS,False
CELSR2,False
PSRC1,False
SORT1,False
PSMA5,False
SYPL2,False
ATXN7L2,False
CYB561D1,False
AMIGO1,False
GNAI3,False
GNAT2,False
AMPD2,False
GSTM4,False
GSTM2,False
GSTM5,False
GSTM3,False
EPS8L3,False
CSF1,False
AHCYL1,False
STRIP1,False
AL160006.1,False
KCNC4,False
RBM15-AS1,False
RBM15,False
SLC16A4,False
AL355488.1,False
LAMTOR5,False
AL365361.1,False
KCNA3,False
CD53,True
LRIF1,False
DRAM2,False
CEPT1,False
AL355816.1,False
AL355816.2,False
DENND2D,True
CHI3L2,False
CHIA,False
OVGP1,False
WDR77,False
ATP5PB,False
C1orf162,False
TMIGD3,False
ADORA3,False
RAP1A,False
DDX20,False
KCND3,False
LINC01750,False
CTTNBP2NL,False
WNT2B,False
AL354760.1,False
ST7L,False
CAPZA1,True
MOV10,True
AL603832.1,False
RHOC,True
PPM1J,False
AL390729.1,False
SLC16A1,False
SLC16A1-AS1,False
AL357055.3,False
LRIG2,False
MAGI3,True
PHTF1,False
RSBN1,False
PTPN22,False
AP4B1-AS1,False
BCL2L15,False
AP4B1,False
DCLRE1B,False
HIPK1-AS1,False
HIPK1,False
OLFML3,False
TRIM33,False
BCAS2,True
DENND2C,False
AMPD1,False
NRAS,False
CSDE1,False
SIKE1,False
TSPAN2,False
NGF,False
VANGL1,False
SLC22A15,False
MAB21L3,False
ATP1A1,True
AL390066.1,False
CD58,False
IGSF3,False
CD2,True
PTGFRN,False
CD101,False
AL445231.1,False
TTF2,False
TRIM45,False
VTCN1,False
AL358072.1,False
MAN1A2,False
TENT5C,False
GDAP2,True
WDR3,False
TBX15,False
WARS2,False
WARS2-IT1,False
AL359915.2,False
AL359915.1,False
LINC01780,False
HAO2,False
HSD3B2,False
HSD3B1,False
ZNF697,False
PHGDH,True
HMGCS2,False
REG4,False
NOTCH2,True
SEC22B,False
NBPF26,False
LINC00623,True
FCGR1B,False
FAM72B,False
SRGAP2C,False
AL592494.1,False
AL592494.3,False
AC239800.2,False
AC239800.3,False
FAM72C,False
AC245595.1,False
AC246785.3,False
NBPF15,False
LINC01632,False
SRGAP2B,False
FAM72D,False
AC245014.3,False
AC245014.1,False
NBPF20,False
GPR89A,False
PDZK1,False
CD160,False
RNF115,False
POLR3C,False
NUDT17,False
PIAS3,False
ANKRD35,False
ITGA10,False
PEX11B,True
RBM8A,True
LIX1L-AS1,False
LIX1L,False
ANKRD34A,False
POLR3GL,False
TXNIP,True
HJV,False
LINC01719,False
NBPF10,False
